name                    	time	value	rate	unit	path
"rootCarbonCostOfExudates"          	0.000	0.00000000	0.00000000	"g"	"//bean3"
"rootCarbonCostOfNutrientUptake"    	0.000	0.00000000	0.00000000	"g"	"//bean3"
"rootCarbonCosts"                   	0.000	0.00000000	0.00000000	"g"	"//bean3"
"rootDryWeight"                     	0.000	0.00000000	NA	"g"	"//bean3"
"rootGrowthScalingFactor"           	0.000	1.00000000	0.00000000	"100%"	"//bean3"
"rootGrowthScalingFactor;majorAxis" 	0.000	1.00000000	0.00000000	"100%"	"//bean3"
"rootLength"                        	0.000	0.00000000	NA	"cm"	"//bean3"
"rootLongitudinalGrowth"            	0.000	0.00000000	3.35700000	"cm"	"//bean3"
"rootPotentialCarbonSinkForGrowth"  	0.000	0.00000000	0.00594985	"g"	"//bean3"
"rootPotentialCarbonSinkForGrowth;majorAxis"	0.000	0.00000000	0.00594985	"g"	"//bean3"
"rootRespiration"                   	0.000	0.00000000	0.00000000	"g"	"//bean3"
"rootSecondaryPotentialCarbonSinkForGrowth"	0.000	0.00000000	0.00000000	"g"	"//bean3"
"rootSurfaceArea"                   	0.000	0.00000000	NA	"cm2"	"//bean3"
"rootVolume"                        	0.000	0.00000000	NA	"cm3"	"//bean3"
"rootWaterUptake"                   	0.000	0.00000000	0.00000000	"cm3"	"//bean3"
"secondaryRootGrowthScalingFactor"  	0.000	1.00000000	0.00000000	"100%"	"//bean3"
"shootDryWeight"                    	0.000	0.00000000	NA	"g"	"//bean3"
"shootPotentialCarbonSinkForGrowth" 	0.000	0.00000000	0.00000000	"g"	"//bean3"
"shootRespiration"                  	0.000	0.00000000	0.00000000	"g"	"//bean3"
"stressFactor"                      	0.000	1.00000000	NA	"noUnit"	"//bean3"
"RootLengthProfile_00-10"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_10-20"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_20-30"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_30-40"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_40-50"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_50-60"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_60-70"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_70-80"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_80-90"           	0.000	0.00000000	NA	"cm"	"//soil"
"RootLengthProfile_90+"             	0.000	0.00000000	NA	"cm"	"//soil"
"D90"                               	0.000	-135.00000000	NA	"cm"	"//soil/nitrate"
"rootLengthDensityInMiddleCore_04"  	0.000	0.00000000	NA	"cm/cm3"	"//soil"
"rootLengthDensityInMiddleCore_12"  	0.000	0.00000000	NA	"cm/cm3"	"//soil"
"rootLengthDensityInMiddleCore_20"  	0.000	0.00000000	NA	"cm/cm3"	"//soil"
"rootLengthDensityInMiddleCore_28"  	0.000	0.00000000	NA	"cm/cm3"	"//soil"
"rootLengthDensityInMiddleCore_36"  	0.000	0.00000000	NA	"cm/cm3"	"//soil"
"D90"                               	1.000	-5.10882546	NA	"cm"	"//bean1"
"carbonAllocation2Roots"            	1.000	0.01127293	0.01660454	"g"	"//bean1"
"carbonAllocation2Shoot"            	1.000	0.00000000	0.00000000	"g"	"//bean1"
"carbonAvailableForGrowth"          	1.000	0.01127293	0.01660454	"g"	"//bean1"
"carbonReserves"                    	1.000	0.00000000	-0.00000000	"g"	"//bean1"
"nutrientStressFactor"              	1.000	1.00000000	0.00000000	"100%"	"//bean1/nitrate"
"plantMinimalNutrientContent"       	1.000	15.03754978	NA	"umol"	"//bean1/nitrate"
